Name	NumReads	ReadsMapped	PctOnTarget	GenesMapped	GenesWithContigs	GenesWithSeqs	GenesAt25pct	GenesAt50pct	GenesAt75pct	Genesat150pct	ParalogWarnings	Year	Herbarium	Project
Neoholmgrenia_hilgardii_RAL-12-20	682524	189367	0.277	314	300	299	282	215	130	1	11	2016	no	Oenothera
Oenothera_riskindii_LOL_679	525010	400411	0.763	312	308	306	300	273	206	0	4	2016	no	Oenothera
Taraxia_subacaulis_RAL-12-05	923908	273389	0.296	314	305	304	299	265	184	0	0	2016	no	Oenothera
Neoholmgrenia_andina_RAL-12-17	1041207	702937	0.675	311	308	307	301	255	155	0	14	2016	no	Oenothera
Fuchsia_jimenezii_LOL_673	213829	138934	0.65	304	280	274	253	171	83	0	0	2016	no	Oenothera
Clarkia_speciosa_speciosa_TM_202	531693	397724	0.748	310	306	305	297	260	161	2	23	2016	no	Oenothera
Camissoniopsis_robusta_LOL_599	64472	46334	0.719	309	225	224	195	124	48	0	0	2016	no	Oenothera
Fuchsia_splendens_LOL_677	402913	253686	0.63	301	287	287	276	209	105	1	1	2016	no	Oenothera
Oenothera_hartwegii_fendleri_bjc13	2097805	212228	0.101	311	210	202	182	125	62	0	7	2016	no	Oenothera
Oenothera_deltoides_deltoides_LOL-177	672714	413429	0.615	312	307	307	302	274	195	1	18	2016	no	Oenothera
Clarkia_amoena_CBG_SAS_001	570652	408216	0.715	310	302	300	289	251	166	10	44	2016	no	Oenothera
Epilobium_canum_latifolium_LOL_915	1166855	894929	0.767	309	302	302	292	255	136	1	6	2016	no	Oenothera
Oenothera_brachycarpa_PK-208	1074348	688670	0.641	312	308	308	306	284	218	2	22	2016	no	Oenothera
Clarkia_davyi_LOL_644	762434	583373	0.765	312	305	303	296	265	168	1	37	2016	no	Oenothera
Oenothera_cespitosa_marginata_LOL_140	832924	639038	0.767	312	310	309	306	282	219	0	11	2016	no	Oenothera
Eremothera_chamaeneroides_RAL_16-01	1120868	298219	0.266	317	308	306	300	270	179	1	0	2016	no	Oenothera
Oenothera_deltoides_howellii_LOL_664	151811	108164	0.712	310	293	289	280	241	162	0	0	2016	no	Oenothera
Clarkia_australis_LOL_545	1180427	243252	0.206	317	300	300	293	239	149	1	18	2016	no	Oenothera
Clarkia_virgata_LOL_571	389657	30006	0.077	312	160	154	120	64	25	1	0	2016	no	Oenothera
Oenothera_anomala_MJM1194	629124	343987	0.547	316	307	307	305	279	206	0	2	2016	no	Oenothera
Clarkia_purpurea_quadrivulnera_LOL_284	528515	143609	0.272	313	290	290	277	218	125	1	14	2016	no	Oenothera
Xylonagra_arborea_Vanderplank_5591_comb	1371932	702020	0.512	313	307	307	302	276	202	1	5	2016	no	Oenothera
Eremothera_boothii_alyssoides_RCB_003	91962	61655	0.67	307	250	248	216	152	66	0	0	2016	no	Oenothera
Clarkia_amoena_MJM1059	405672	63989	0.158	309	244	243	207	120	60	1	2	2016	no	Oenothera
Chylismia_brevipes_pallidula_LOL_594	218630	150362	0.688	310	293	292	285	250	167	1	24	2016	no	Oenothera
Taraxia_ovata_RAL-12-04	784825	158343	0.202	315	298	295	285	246	158	1	2	2016	no	Oenothera
Epilobium_campestre_JLMC8477	590408	341030	0.578	312	298	296	286	234	126	0	3	2016	no	Oenothera
Lopezia_miniata_LOL_820	168001	121593	0.724	296	226	221	181	82	28	0	2	2016	no	Oenothera
Oenothera_coronopifolia_RAR_01-70	124493	97138	0.78	310	286	286	254	167	68	0	0	2016	no	Oenothera
Oenothera_nuttallii_JLMC7242	486016	278962	0.574	240	207	203	170	101	40	1	1	2016	no	Oenothera
Oenothera_pallida_pallida_LOL_611	529342	382072	0.722	311	306	305	302	272	204	1	18	2016	no	Oenothera
